group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,1,loss,6552,50,0.7631257631257631,6.868131868131868e-4,0.0013736263736263735,0.09,0.18
High-Risk,1,win,1960,1,0.05102040816326531,0.0012755102040816328,5.102040816326531e-4,2.5,1
High-Risk,2,loss,7090,14,0.19746121297602257,0.002468265162200282,0.00155148095909732,1.25,0.7857142857142857
High-Risk,2,win,2176,3,0.13786764705882354,0.003216911764705882,0.0027573529411764708,2.3333333333333335,2
High-Risk,3,loss,1320,66,5,-0.03257575757575758,-0.023484848484848483,-0.6515151515151515,-0.4696969696969697
High-Risk,3,win,403,20,4.962779156327544,0.07816377171215881,0.04962779156327544,1.575,1
High-Risk,4,loss,5,0,0,0,0,NA,NA
High-Risk,5,loss,13048,29,0.22225628448804416,5.939607602697732e-4,8.430410790925812e-4,0.2672413793103448,0.3793103448275862
High-Risk,5,win,3597,1,0.027800945232137893,2.7800945232137893e-4,5.560189046427579e-4,1,2
High-Risk,6,loss,1589,43,2.7061044682190056,-0.007866582756450597,-0.015103838892385148,-0.29069767441860467,-0.5581395348837209
High-Risk,6,win,528,2,0.3787878787878788,0.00946969696969697,0.011363636363636364,2.5,3
High-Risk,7,loss,30,2,6.666666666666667,0.016666666666666666,0.06666666666666667,0.25,1
High-Risk,7,win,9,1,11.11111111111111,0.027777777777777776,0.1111111111111111,0.25,1
High-Risk,8,loss,21,0,0,0,0,NA,NA
High-Risk,8,win,2,0,0,0,0,NA,NA
High-Risk,9,loss,22,1,4.545454545454546,0.22727272727272727,0.045454545454545456,5,1
High-Risk,9,win,7,0,0,0,0,NA,NA
High-Risk,10,loss,15250,339,2.222950819672131,-0.08739344262295082,-0.018688524590163933,-3.9314159292035398,-0.8407079646017699
High-Risk,10,win,5289,2,0.03781433163168841,0.00274153904329741,0.0013235016071090945,7.25,3.5
High-Risk,11,loss,1061,22,2.0735155513666355,0.05230914231856739,0.019792648444863337,2.522727272727273,0.9545454545454546
High-Risk,11,win,302,0,0,0,0,NA,NA
High-Risk,12,loss,261,1,0.38314176245210724,0.0019157088122605363,0.0038314176245210726,0.5,1
High-Risk,12,win,91,0,0,0,0,NA,NA
High-Risk,13,loss,4937,73,1.4786307474174598,-6.582945108365404e-4,-0.0018229694146242657,-0.04452054794520548,-0.1232876712328767
High-Risk,13,win,1258,9,0.7154213036565978,0.001987281399046105,0.005564387917329093,0.2777777777777778,0.7777777777777778
High-Risk,14,loss,47,0,0,0,0,NA,NA
High-Risk,14,win,14,0,0,0,0,NA,NA
High-Risk,15,loss,560,6,1.0714285714285714,-0.0026785714285714286,-0.008928571428571428,-0.25,-0.8333333333333334
High-Risk,15,win,139,0,0,0,0,NA,NA
High-Risk,16,loss,8206,64,0.7799171338045333,-0.0023153789909822085,-0.004387033877650499,-0.296875,-0.5625
High-Risk,16,win,2432,9,0.3700657894736842,0.0069901315789473685,0.004934210526315789,1.8888888888888888,1.3333333333333333
High-Risk,17,loss,1713,7,0.4086398131932283,0,0,0,0
High-Risk,17,win,545,1,0.1834862385321101,0.009174311926605505,0.001834862385321101,5,1
High-Risk,18,loss,750,12,1.6,0.0023333333333333335,0.005333333333333333,0.14583333333333334,0.3333333333333333
High-Risk,18,win,230,1,0.43478260869565216,0.002173913043478261,0.004347826086956522,0.5,1
High-Risk,19,loss,6,0,0,0,0,NA,NA
High-Risk,20,loss,171,30,17.543859649122805,-0.41812865497076024,-0.18128654970760233,-2.3833333333333333,-1.0333333333333334
High-Risk,20,win,58,29,50,1.2241379310344827,0.5172413793103449,2.4482758620689653,1.0344827586206897
High-Risk,21,loss,20394,94,0.4609198783956065,-0.004314994606256743,-0.004511130724722958,-0.9361702127659575,-0.9787234042553191
High-Risk,21,win,6422,19,0.2958579881656805,0.008175023357209592,0.004360012457178449,2.763157894736842,1.4736842105263157
High-Risk,22,loss,43463,388,0.8927133423831766,9.20323033384718e-4,5.061776683615949e-4,0.10309278350515463,0.05670103092783505
High-Risk,22,win,14532,2,0.013762730525736306,8.601706578585192e-5,2.064409578860446e-4,0.625,1.5
High-Risk,23,loss,812,17,2.0935960591133003,3.078817733990148e-4,0,0.014705882352941176,0
High-Risk,23,win,250,3,1.2,0.006,0.012,0.5,1
High-Risk,24,loss,1384,3,0.2167630057803468,-1.80635838150289e-4,-7.22543352601156e-4,-0.08333333333333333,-0.3333333333333333
High-Risk,24,win,447,2,0.44742729306487694,0.0016778523489932886,0.0044742729306487695,0.375,1
High-Risk,25,loss,20,0,0,0,0,NA,NA
High-Risk,25,win,7,0,0,0,0,NA,NA
High-Risk,26,loss,765,3,0.39215686274509803,-3.2679738562091506e-4,-0.00130718954248366,-0.08333333333333333,-0.3333333333333333
High-Risk,26,win,196,2,1.0204081632653061,0.003826530612244898,0.01020408163265306,0.375,1
High-Risk,27,loss,324,0,0,0,0,NA,NA
High-Risk,27,win,97,0,0,0,0,NA,NA
High-Risk,28,loss,104,0,0,0,0,NA,NA
High-Risk,28,win,34,1,2.941176470588235,0.014705882352941176,0.029411764705882353,0.5,1
High-Risk,29,loss,2,0,0,0,0,NA,NA
High-Risk,29,win,1,0,0,0,0,NA,NA
High-Risk,30,loss,63671,372,0.584253427777167,-0.0016648081544188092,-0.003832199902624429,-0.2849462365591398,-0.6559139784946236
High-Risk,30,win,19073,60,0.314580821055943,0.005098830807948409,0.0053478739579510305,1.6208333333333333,1.7
High-Risk,31,loss,345,0,0,0,0,NA,NA
High-Risk,31,win,80,0,0,0,0,NA,NA
High-Risk,32,loss,48322,543,1.1237117668970655,6.467033649269486e-4,2.6902859980961033e-4,0.05755064456721915,0.02394106813996317
High-Risk,32,win,16536,25,0.15118529269472664,0.0018444605708756653,0.0022375423318819546,1.22,1.48
High-Risk,33,loss,900,4,0.4444444444444444,-2.777777777777778e-4,0,-0.0625,0
High-Risk,33,win,307,0,0,0,0,NA,NA
High-Risk,34,loss,697,0,0,0,0,NA,NA
High-Risk,34,win,190,0,0,0,0,NA,NA
High-Risk,35,loss,60,0,0,0,0,NA,NA
High-Risk,35,win,21,0,0,0,0,NA,NA
High-Risk,36,loss,211,1,0.47393364928909953,0.011848341232227487,0.004739336492890996,2.5,1
High-Risk,36,win,53,0,0,0,0,NA,NA
High-Risk,37,loss,252,0,0,0,0,NA,NA
High-Risk,37,win,70,0,0,0,0,NA,NA
High-Risk,38,loss,315,2,0.6349206349206349,-0.002380952380952381,-0.006349206349206349,-0.375,-1
High-Risk,38,win,84,0,0,0,0,NA,NA
High-Risk,39,loss,1565,9,0.5750798722044729,0.003194888178913738,0,0.5555555555555556,0
High-Risk,39,win,498,0,0,0,0,NA,NA
High-Risk,40,loss,15278,385,2.5199633459876947,0.0037308548239298337,-0.001243618274643278,0.14805194805194805,-0.04935064935064935
High-Risk,40,win,4319,38,0.8798332947441537,-0.001794396851122945,-0.002083815698078259,-0.20394736842105263,-0.23684210526315788
High-Risk,41,loss,2327,30,1.289213579716373,-9.669101847872797e-4,-0.004297378599054577,-0.075,-0.3333333333333333
