group,id_player,stake,n_round,n_round_total,prop
High-Risk,1,0.25,0,8586,0
High-Risk,1,0.5,2282,8586,26.578150477521547
High-Risk,1,1,2476,8586,28.837642674120662
High-Risk,1,1.5,0,8586,0
High-Risk,1,2,613,8586,7.139529466573492
High-Risk,1,2.5,2740,8586,31.912415560214303
High-Risk,1,5,450,8586,5.2410901467505235
High-Risk,1,10,25,8586,0.2911716748194736
High-Risk,1,15,0,8586,0
High-Risk,1,20,0,8586,0
High-Risk,2,0.25,14,9334,0.14998928647953716
High-Risk,2,0.5,88,9334,0.9427898007285194
High-Risk,2,1,501,9334,5.367473751874866
High-Risk,2,1.5,0,9334,0
High-Risk,2,2,3985,9334,42.693379044353975
High-Risk,2,2.5,143,9334,1.532033426183844
High-Risk,2,5,4603,9334,49.314334690379255
High-Risk,2,10,0,9334,0
High-Risk,2,15,0,9334,0
High-Risk,2,20,0,9334,0
High-Risk,3,0.25,0,1769,0
High-Risk,3,0.5,245,1769,13.849632560768796
High-Risk,3,1,418,1769,23.629169022046355
High-Risk,3,1.5,108,1769,6.105144149236857
High-Risk,3,2,155,1769,8.762012436404747
High-Risk,3,2.5,519,1769,29.338609383832676
High-Risk,3,5,299,1769,16.902204635387225
High-Risk,3,10,25,1769,1.4132278123233466
High-Risk,3,15,0,1769,0
High-Risk,3,20,0,1769,0
High-Risk,4,0.25,6,6,100
High-Risk,4,0.5,0,6,0
High-Risk,4,1,0,6,0
High-Risk,4,1.5,0,6,0
High-Risk,4,2,0,6,0
High-Risk,4,2.5,0,6,0
High-Risk,4,5,0,6,0
High-Risk,4,10,0,6,0
High-Risk,4,15,0,6,0
High-Risk,4,20,0,6,0
High-Risk,5,0.25,25,16959,0.14741435226133617
High-Risk,5,0.5,7490,16959,44.16533993749632
High-Risk,5,1,8177,16959,48.21628633763783
High-Risk,5,1.5,206,16959,1.21469426263341
High-Risk,5,2,476,16959,2.8067692670558406
High-Risk,5,2.5,448,16959,2.641665192523144
High-Risk,5,5,137,16959,0.8078306503921221
High-Risk,5,10,0,16959,0
High-Risk,5,15,0,16959,0
High-Risk,5,20,0,16959,0
High-Risk,6,0.25,125,2192,5.702554744525547
High-Risk,6,0.5,1191,2192,54.33394160583942
High-Risk,6,1,618,2192,28.193430656934304
High-Risk,6,1.5,5,2192,0.22810218978102187
High-Risk,6,2,164,2192,7.481751824817519
High-Risk,6,2.5,51,2192,2.326642335766423
High-Risk,6,5,38,2192,1.7335766423357664
High-Risk,6,10,0,2192,0
High-Risk,6,15,0,2192,0
High-Risk,6,20,0,2192,0
High-Risk,7,0.25,26,45,57.77777777777777
High-Risk,7,0.5,17,45,37.77777777777778
High-Risk,7,1,2,45,4.444444444444445
High-Risk,7,1.5,0,45,0
High-Risk,7,2,0,45,0
High-Risk,7,2.5,0,45,0
High-Risk,7,5,0,45,0
High-Risk,7,10,0,45,0
High-Risk,7,15,0,45,0
High-Risk,7,20,0,45,0
High-Risk,8,0.25,24,24,100
High-Risk,8,0.5,0,24,0
High-Risk,8,1,0,24,0
High-Risk,8,1.5,0,24,0
High-Risk,8,2,0,24,0
High-Risk,8,2.5,0,24,0
High-Risk,8,5,0,24,0
High-Risk,8,10,0,24,0
High-Risk,8,15,0,24,0
High-Risk,8,20,0,24,0
High-Risk,9,0.25,0,31,0
High-Risk,9,0.5,0,31,0
High-Risk,9,1,0,31,0
High-Risk,9,1.5,0,31,0
High-Risk,9,2,0,31,0
High-Risk,9,2.5,0,31,0
High-Risk,9,5,9,31,29.03225806451613
High-Risk,9,10,22,31,70.96774193548387
High-Risk,9,15,0,31,0
High-Risk,9,20,0,31,0
High-Risk,10,0.25,2444,20938,11.67255707326392
High-Risk,10,0.5,694,20938,3.3145477122934377
High-Risk,10,1,83,20938,0.3964084439774572
High-Risk,10,1.5,19,20938,0.09074410163339383
High-Risk,10,2,428,20938,2.044130289425924
High-Risk,10,2.5,93,20938,0.44416849746871717
High-Risk,10,5,89,20938,0.42506447607221315
High-Risk,10,10,6098,20938,29.124080618970293
High-Risk,10,15,6059,20938,28.93781641035438
High-Risk,10,20,4931,20938,23.55048237654026
High-Risk,11,0.25,0,1415,0
High-Risk,11,0.5,0,1415,0
High-Risk,11,1,4,1415,0.2826855123674912
High-Risk,11,1.5,2,1415,0.1413427561837456
High-Risk,11,2,211,1415,14.911660777385158
High-Risk,11,2.5,451,1415,31.872791519434628
High-Risk,11,5,717,1415,50.67137809187279
High-Risk,11,10,18,1415,1.2720848056537104
High-Risk,11,15,12,1415,0.8480565371024734
High-Risk,11,20,0,1415,0
High-Risk,12,0.25,48,355,13.521126760563378
High-Risk,12,0.5,124,355,34.92957746478873
High-Risk,12,1,95,355,26.76056338028169
High-Risk,12,1.5,88,355,24.788732394366196
High-Risk,12,2,0,355,0
High-Risk,12,2.5,0,355,0
High-Risk,12,5,0,355,0
High-Risk,12,10,0,355,0
High-Risk,12,15,0,355,0
High-Risk,12,20,0,355,0
High-Risk,13,0.25,1319,6250,21.104
High-Risk,13,0.5,2230,6250,35.68
High-Risk,13,1,1385,6250,22.16
High-Risk,13,1.5,205,6250,3.2800000000000002
High-Risk,13,2,954,6250,15.264
High-Risk,13,2.5,157,6250,2.512
High-Risk,13,5,0,6250,0
High-Risk,13,10,0,6250,0
High-Risk,13,15,0,6250,0
High-Risk,13,20,0,6250,0
High-Risk,14,0.25,62,62,100
High-Risk,14,0.5,0,62,0
High-Risk,14,1,0,62,0
High-Risk,14,1.5,0,62,0
High-Risk,14,2,0,62,0
High-Risk,14,2.5,0,62,0
High-Risk,14,5,0,62,0
High-Risk,14,10,0,62,0
High-Risk,14,15,0,62,0
High-Risk,14,20,0,62,0
High-Risk,15,0.25,355,704,50.42613636363637
High-Risk,15,0.5,348,704,49.43181818181818
High-Risk,15,1,1,704,0.14204545454545456
High-Risk,15,1.5,0,704,0
High-Risk,15,2,0,704,0
High-Risk,15,2.5,0,704,0
High-Risk,15,5,0,704,0
High-Risk,15,10,0,704,0
High-Risk,15,15,0,704,0
High-Risk,15,20,0,704,0
High-Risk,16,0.25,43,10692,0.40216984661429106
High-Risk,16,0.5,982,10692,9.18443696221474
High-Risk,16,1,3254,10692,30.43396932285821
High-Risk,16,1.5,366,10692,3.423120089786756
High-Risk,16,2,1259,10692,11.77515899738122
High-Risk,16,2.5,1046,10692,9.783015338570895
High-Risk,16,5,3103,10692,29.021698466142908
High-Risk,16,10,446,10692,4.171343060231949
High-Risk,16,15,0,10692,0
High-Risk,16,20,193,10692,1.8050879161990274
High-Risk,17,0.25,0,2279,0
High-Risk,17,0.5,19,2279,0.8336989907854322
High-Risk,17,1,22,2279,0.9653356735410268
High-Risk,17,1.5,0,2279,0
High-Risk,17,2,0,2279,0
High-Risk,17,2.5,0,2279,0
High-Risk,17,5,766,2279,33.61123299692848
High-Risk,17,10,122,2279,5.353225098727512
High-Risk,17,15,85,2279,3.7297060114085125
High-Risk,17,20,1265,2279,55.506801228609035
High-Risk,18,0.25,592,994,59.55734406438632
High-Risk,18,0.5,253,994,25.452716297786722
High-Risk,18,1,71,994,7.142857142857142
High-Risk,18,1.5,0,994,0
High-Risk,18,2,63,994,6.338028169014084
High-Risk,18,2.5,5,994,0.5030181086519114
High-Risk,18,5,10,994,1.0060362173038229
High-Risk,18,10,0,994,0
High-Risk,18,15,0,994,0
High-Risk,18,20,0,994,0
High-Risk,19,0.25,0,7,0
High-Risk,19,0.5,0,7,0
High-Risk,19,1,7,7,100
High-Risk,19,1.5,0,7,0
High-Risk,19,2,0,7,0
High-Risk,19,2.5,0,7,0
High-Risk,19,5,0,7,0
High-Risk,19,10,0,7,0
High-Risk,19,15,0,7,0
High-Risk,19,20,0,7,0
High-Risk,20,0.25,0,233,0
High-Risk,20,0.5,0,233,0
High-Risk,20,1,2,233,0.8583690987124464
High-Risk,20,1.5,24,233,10.300429184549357
High-Risk,20,2,0,233,0
High-Risk,20,2.5,172,233,73.8197424892704
High-Risk,20,5,35,233,15.021459227467812
High-Risk,20,10,0,233,0
High-Risk,20,15,0,233,0
High-Risk,20,20,0,233,0
High-Risk,21,0.25,0,26998,0
High-Risk,21,0.5,16,26998,0.05926364915919697
High-Risk,21,1,4953,26998,18.345803392843916
High-Risk,21,1.5,140,26998,0.5185569301429735
High-Risk,21,2,5319,26998,19.701459367360545
High-Risk,21,2.5,5550,26998,20.55707830209645
High-Risk,21,5,9351,26998,34.63589895547818
High-Risk,21,10,751,26998,2.7816875324098085
High-Risk,21,15,0,26998,0
High-Risk,21,20,918,26998,3.4002518705089266
High-Risk,22,0.25,141,58125,0.24258064516129033
High-Risk,22,0.5,20662,58125,35.54752688172043
High-Risk,22,1,18000,58125,30.967741935483872
High-Risk,22,1.5,4622,58125,7.951827956989248
High-Risk,22,2,5495,58125,9.453763440860214
High-Risk,22,2.5,4442,58125,7.642150537634408
High-Risk,22,5,2436,58125,4.190967741935484
High-Risk,22,10,2194,58125,3.7746236559139787
High-Risk,22,15,49,58125,0.08430107526881721
High-Risk,22,20,84,58125,0.14451612903225805
High-Risk,23,0.25,173,1074,16.10800744878957
High-Risk,23,0.5,290,1074,27.001862197392924
High-Risk,23,1,454,1074,42.27188081936685
High-Risk,23,1.5,91,1074,8.472998137802607
High-Risk,23,2,38,1074,3.5381750465549344
High-Risk,23,2.5,28,1074,2.60707635009311
High-Risk,23,5,0,1074,0
High-Risk,23,10,0,1074,0
High-Risk,23,15,0,1074,0
High-Risk,23,20,0,1074,0
High-Risk,24,0.25,4,1839,0.2175095160413268
High-Risk,24,0.5,1431,1839,77.81402936378467
High-Risk,24,1,404,1839,21.968461120174005
High-Risk,24,1.5,0,1839,0
High-Risk,24,2,0,1839,0
High-Risk,24,2.5,0,1839,0
High-Risk,24,5,0,1839,0
High-Risk,24,10,0,1839,0
High-Risk,24,15,0,1839,0
High-Risk,24,20,0,1839,0
High-Risk,25,0.25,28,28,100
High-Risk,25,0.5,0,28,0
High-Risk,25,1,0,28,0
High-Risk,25,1.5,0,28,0
High-Risk,25,2,0,28,0
High-Risk,25,2.5,0,28,0
High-Risk,25,5,0,28,0
High-Risk,25,10,0,28,0
High-Risk,25,15,0,28,0
High-Risk,25,20,0,28,0
High-Risk,26,0.25,10,989,1.0111223458038423
High-Risk,26,0.5,26,989,2.62891809908999
High-Risk,26,1,505,989,51.061678463094026
High-Risk,26,1.5,417,989,42.163801820020225
High-Risk,26,2,0,989,0
High-Risk,26,2.5,31,989,3.1344792719919106
High-Risk,26,5,0,989,0
High-Risk,26,10,0,989,0
High-Risk,26,15,0,989,0
High-Risk,26,20,0,989,0
High-Risk,27,0.25,205,425,48.23529411764706
High-Risk,27,0.5,220,425,51.76470588235295
High-Risk,27,1,0,425,0
High-Risk,27,1.5,0,425,0
High-Risk,27,2,0,425,0
High-Risk,27,2.5,0,425,0
