group,id_player,prev_outcome,n_round,rt_mean,rt_z_mean
High-Risk,1,loss,6528,683.6603860294117,-0.0040462604449412265
High-Risk,1,win,1950,689.26,0.013545634966449593
High-Risk,2,loss,7089,216.2044011849344,-0.008455468694728798
High-Risk,2,win,2176,223.2858455882353,0.02754633160704618
High-Risk,3,loss,1311,430.75591151792526,-0.03740074577193653
High-Risk,3,win,400,482.9,0.12258094426752196
High-Risk,4,loss,5,552,0
High-Risk,5,loss,13023,354.05060277969744,-0.05808428030383673
High-Risk,5,win,3590,418.6994428969359,0.210705176155116
High-Risk,6,loss,1586,227.92370744010088,-0.034059234141310665
High-Risk,6,win,526,258.61787072243345,0.10269571358957941
High-Risk,7,loss,30,719.8666666666667,0.0443158248191108
High-Risk,7,win,9,680.6666666666666,-0.1477194160637026
High-Risk,8,loss,21,178.85714285714286,-0.03993906664895143
High-Risk,8,win,2,216,0.4193601998139908
High-Risk,9,loss,22,441.3636363636364,-0.24539902802231556
High-Risk,9,win,7,648.1428571428571,0.7712540880701344
High-Risk,10,loss,15227,492.04498588034414,-0.04328466441778549
High-Risk,10,win,5277,536.3109721432633,0.12489967502172038
High-Risk,11,loss,1054,456.4535104364326,-0.04481041070854244
High-Risk,11,win,300,530.2366666666667,0.15743390962267936
High-Risk,12,loss,261,242.82758620689654,-0.16686558670028212
High-Risk,12,win,91,344.65934065934067,0.47859250690960103
High-Risk,13,loss,4932,330.2224249797242,-0.10026005161125331
High-Risk,13,win,1256,442.4593949044586,0.39369631731425264
High-Risk,14,loss,45,794.4666666666667,0.035667978799733775
High-Risk,14,win,14,729.7142857142857,-0.11464707471343018
High-Risk,15,loss,559,633.3237924865832,0.011121263936857523
High-Risk,15,win,139,610.4964028776978,-0.04472508302664248
High-Risk,16,loss,8205,543.297014015844,0.004607814844429427
High-Risk,16,win,2432,540.1110197368421,-0.015545691117822136
High-Risk,17,loss,1710,376.64619883040933,-0.06468259603500906
High-Risk,17,win,545,418.2348623853211,0.20294906278874428
High-Risk,18,loss,746,750.3150134048258,-0.0939588494039838
High-Risk,18,win,227,893.7400881057268,0.3087810645611096
High-Risk,19,loss,6,825.1666666666666,5.735926418444041e-16
High-Risk,20,loss,171,186.76023391812865,-0.014900681927469133
High-Risk,20,win,58,193.94827586206895,0.043931320855124176
