group,id_player,outcome,total_count,stop_count,stop_prob,stop_overall
High-Risk,1,loss,6624,72,1.0869565217391304,0.8618681574656417
High-Risk,1,win,1962,2,0.10193679918450561,0.8618681574656417
High-Risk,2,loss,7158,68,0.9499860296172116,0.7285193914720377
High-Risk,2,win,2176,0,0,0.7285193914720377
High-Risk,3,loss,1366,46,3.3674963396778916,2.6003391746749576
High-Risk,3,win,403,0,0,2.6003391746749576
High-Risk,4,loss,6,1,16.666666666666664,16.666666666666664
High-Risk,5,loss,13345,297,2.225552641438741,1.8515242644023822
High-Risk,5,win,3614,17,0.47039291643608194,1.8515242644023822
High-Risk,6,loss,1664,75,4.507211538461538,3.4215328467153285
High-Risk,6,win,528,0,0,3.4215328467153285
High-Risk,7,loss,36,6,16.666666666666664,13.333333333333334
High-Risk,7,win,9,0,0,13.333333333333334
High-Risk,8,loss,22,1,4.545454545454546,4.166666666666666
High-Risk,8,win,2,0,0,4.166666666666666
High-Risk,9,loss,24,2,8.333333333333332,6.451612903225806
High-Risk,9,win,7,0,0,6.451612903225806
High-Risk,10,loss,15649,399,2.549683685858521,1.9056261343012704
High-Risk,10,win,5289,0,0,1.9056261343012704
High-Risk,11,loss,1112,51,4.586330935251799,3.674911660777385
High-Risk,11,win,303,1,0.33003300330033003,3.674911660777385
High-Risk,12,loss,264,3,1.1363636363636365,0.8450704225352111
High-Risk,12,win,91,0,0,0.8450704225352111
High-Risk,13,loss,4989,52,1.0422930446983365,0.88
High-Risk,13,win,1261,3,0.23790642347343377,0.88
High-Risk,14,loss,48,1,2.083333333333333,1.6129032258064515
High-Risk,14,win,14,0,0,1.6129032258064515
High-Risk,15,loss,564,4,0.7092198581560284,0.7102272727272727
High-Risk,15,win,140,1,0.7142857142857143,0.7102272727272727
High-Risk,16,loss,8259,53,0.6417241796827703,0.5050505050505051
High-Risk,16,win,2433,1,0.04110152075626798,0.5050505050505051
High-Risk,17,loss,1733,20,1.154068090017311,0.9214567792891618
High-Risk,17,win,546,1,0.18315018315018314,0.9214567792891618
High-Risk,18,loss,764,14,1.832460732984293,1.4084507042253522
High-Risk,18,win,230,0,0,1.4084507042253522
High-Risk,19,loss,7,1,14.285714285714285,14.285714285714285
High-Risk,20,loss,175,4,2.2857142857142856,1.7167381974248928
High-Risk,20,win,58,0,0,1.7167381974248928
High-Risk,21,loss,20561,167,0.812217304605807,0.6741240091858656
High-Risk,21,win,6437,15,0.23302780798508624,0.6741240091858656
High-Risk,22,loss,43584,121,0.27762481644640236,0.2236559139784946
High-Risk,22,win,14541,9,0.061893955023726015,0.2236559139784946
High-Risk,23,loss,824,12,1.4563106796116505,1.1173184357541899
High-Risk,23,win,250,0,0,1.1173184357541899
High-Risk,24,loss,1392,8,0.5747126436781609,0.4350190320826536
High-Risk,24,win,447,0,0,0.4350190320826536
High-Risk,25,loss,21,1,4.761904761904762,3.571428571428571
High-Risk,25,win,7,0,0,3.571428571428571
High-Risk,26,loss,793,28,3.5308953341740232,2.8311425682507583
High-Risk,26,win,196,0,0,2.8311425682507583
High-Risk,27,loss,328,4,1.2195121951219512,0.9411764705882352
High-Risk,27,win,97,0,0,0.9411764705882352
High-Risk,28,loss,108,4,3.7037037037037033,2.8169014084507045
High-Risk,28,win,34,0,0,2.8169014084507045
High-Risk,29,loss,3,1,33.33333333333333,25
High-Risk,29,win,1,0,0,25
High-Risk,30,loss,64323,652,1.0136343143199167,0.7865707434052759
High-Risk,30,win,19077,4,0.02096765738847827,0.7865707434052759
High-Risk,31,loss,351,6,1.7094017094017095,1.3921113689095126
High-Risk,31,win,80,0,0,1.3921113689095126
High-Risk,32,loss,49022,700,1.4279303170005304,1.0843538867452607
High-Risk,32,win,16547,11,0.06647730706472472,1.0843538867452607
High-Risk,33,loss,910,10,1.098901098901099,1.0655737704918031
High-Risk,33,win,310,3,0.967741935483871,1.0655737704918031
High-Risk,34,loss,711,14,1.969057665260197,1.553829078801332
High-Risk,34,win,190,0,0,1.553829078801332
High-Risk,35,loss,65,5,7.6923076923076925,5.813953488372093
High-Risk,35,win,21,0,0,5.813953488372093
High-Risk,36,loss,217,6,2.7649769585253456,2.2222222222222223
High-Risk,36,win,53,0,0,2.2222222222222223
High-Risk,37,loss,257,5,1.9455252918287937,1.8292682926829267
High-Risk,37,win,71,1,1.4084507042253522,1.8292682926829267
High-Risk,38,loss,318,3,0.9433962264150944,0.7462686567164178
High-Risk,38,win,84,0,0,0.7462686567164178
High-Risk,39,loss,1579,14,0.8866371120962635,0.6740491092922485
High-Risk,39,win,498,0,0,0.6740491092922485
High-Risk,40,loss,15472,194,1.2538779731127196,0.9902490779568535
