group,id_player,stake,n_round,n_round_total,prop
High-Risk,HR_1,0.25,0,8586,0
High-Risk,HR_1,0.5,2282,8586,26.578150477521547
High-Risk,HR_1,1,2476,8586,28.837642674120662
High-Risk,HR_1,1.5,0,8586,0
High-Risk,HR_1,2,613,8586,7.139529466573492
High-Risk,HR_1,2.5,2740,8586,31.912415560214303
High-Risk,HR_1,5,450,8586,5.2410901467505235
High-Risk,HR_1,10,25,8586,0.2911716748194736
High-Risk,HR_1,15,0,8586,0
High-Risk,HR_1,20,0,8586,0
High-Risk,HR_10,0.25,2444,20938,11.67255707326392
High-Risk,HR_10,0.5,694,20938,3.3145477122934377
High-Risk,HR_10,1,83,20938,0.3964084439774572
High-Risk,HR_10,1.5,19,20938,0.09074410163339383
High-Risk,HR_10,2,428,20938,2.044130289425924
High-Risk,HR_10,2.5,93,20938,0.44416849746871717
High-Risk,HR_10,5,89,20938,0.42506447607221315
High-Risk,HR_10,10,6098,20938,29.124080618970293
High-Risk,HR_10,15,6059,20938,28.93781641035438
High-Risk,HR_10,20,4931,20938,23.55048237654026
High-Risk,HR_100,0.25,0,781,0
High-Risk,HR_100,0.5,0,781,0
High-Risk,HR_100,1,0,781,0
High-Risk,HR_100,1.5,2,781,0.2560819462227913
High-Risk,HR_100,2,46,781,5.8898847631242
High-Risk,HR_100,2.5,148,781,18.950064020486558
High-Risk,HR_100,5,529,781,67.733674775928293
High-Risk,HR_100,10,56,781,7.170294494238156
High-Risk,HR_100,15,0,781,0
High-Risk,HR_100,20,0,781,0
High-Risk,HR_1000,0.25,0,240,0
High-Risk,HR_1000,0.5,1,240,0.4166666666666667
High-Risk,HR_1000,1,24,240,10
High-Risk,HR_1000,1.5,133,240,55.41666666666667
High-Risk,HR_1000,2,74,240,30.833333333333336
High-Risk,HR_1000,2.5,8,240,3.3333333333333335
High-Risk,HR_1000,5,0,240,0
High-Risk,HR_1000,10,0,240,0
High-Risk,HR_1000,15,0,240,0
High-Risk,HR_1000,20,0,240,0
High-Risk,HR_1001,0.25,0,44,0
High-Risk,HR_1001,0.5,0,44,0
High-Risk,HR_1001,1,1,44,2.272727272727273
High-Risk,HR_1001,1.5,19,44,43.18181818181818
High-Risk,HR_1001,2,11,44,25
High-Risk,HR_1001,2.5,5,44,11.363636363636363
High-Risk,HR_1001,5,5,44,11.363636363636363
High-Risk,HR_1001,10,3,44,6.8181818181818175
High-Risk,HR_1001,15,0,44,0
High-Risk,HR_1001,20,0,44,0
High-Risk,HR_1002,0.25,3,3,100
High-Risk,HR_1002,0.5,0,3,0
High-Risk,HR_1002,1,0,3,0
High-Risk,HR_1002,1.5,0,3,0
High-Risk,HR_1002,2,0,3,0
High-Risk,HR_1002,2.5,0,3,0
High-Risk,HR_1002,5,0,3,0
High-Risk,HR_1002,10,0,3,0
High-Risk,HR_1002,15,0,3,0
High-Risk,HR_1002,20,0,3,0
High-Risk,HR_1003,0.25,1931,2875,67.16521739130434
High-Risk,HR_1003,0.5,433,2875,15.060869565217391
High-Risk,HR_1003,1,440,2875,15.304347826086955
High-Risk,HR_1003,1.5,0,2875,0
High-Risk,HR_1003,2,0,2875,0
High-Risk,HR_1003,2.5,71,2875,2.4695652173913043
High-Risk,HR_1003,5,0,2875,0
High-Risk,HR_1003,10,0,2875,0
High-Risk,HR_1003,15,0,2875,0
High-Risk,HR_1003,20,0,2875,0
High-Risk,HR_1004,0.25,510,2284,22.329246935201404
High-Risk,HR_1004,0.5,643,2284,28.152364273204906
High-Risk,HR_1004,1,567,2284,24.824868651488615
High-Risk,HR_1004,1.5,198,2284,8.669001751313484
High-Risk,HR_1004,2,101,2284,4.422066549912435
