group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
High-Risk,HR_1,39,Female,NA,0,1,0,0,74,8586,116.02702702702703,67,10,0.5,1.6530398322851152,1,22.851153039832283,247.5,0.5,4.755351681957187,2,10,0.5,1.6494565217391304,1,1596
High-Risk,HR_10,37,Female,15676.546362416108,0,1,1,0,399,20938,52.476190476190474,19,20,0.25,12.087496417995988,15,25.260292291527364,1980,0.25,40.581962563811686,20,20,0.25,12.028867659275353,15,-26398.25
High-Risk,HR_100,28,Male,20163.480464165466,0,1,0,0,14,781,55.785714285714285,28.5,10,1.5,4.6991037131882205,5,26.504481434058896,990,2,21.468599033816425,5,10,1.5,4.770034843205575,5,-1706
High-Risk,HR_1000,39,Male,13860.260596653688,0,1,0,0,7,240,34.285714285714285,29,2.5,0.5,1.6333333333333333,1.5,23.333333333333332,14,1,2.7589285714285716,2,2.5,0.5,1.6304347826086956,1.5,145.5
High-Risk,HR_1001,33,Male,16081.0476064887,0,1,0,0,2,44,22,22,10,1,2.7045454545454546,2,18.181818181818183,20,1.5,5.5,3.5,10,1,2.763888888888889,2,55.5
High-Risk,HR_1002,77,Female,16172.774931764206,0,1,0,0,1,3,3,3,0.25,0.25,0.25,0.25,33.33333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
High-Risk,HR_1003,46,Male,13444.220983470092,0,1,0,0,36,2875,79.86111111111111,72.5,2.5,0.25,0.458,0.25,20.765217391304347,99,0.25,1.551926298157454,0.5,2.5,0.25,0.4646619841966637,0.25,132
High-Risk,HR_1004,45,Female,16715.497825958526,0,1,1,0,100,2284,22.84,17.5,5,0.25,1.100043782837128,0.5,25.788091068301227,59,0.25,2.2703735144312396,1,5,0.25,1.1072271386430679,0.5,539.5
High-Risk,HR_1005,33,Male,19242.954350505297,0,1,0,0,1,394,394,394,1,1,1,1,23.604060913705585,99,1,2.6989247311827955,1,1,1,1,1,50
High-Risk,HR_1006,40,Male,12133.001909630855,0,1,0,0,279,105805,379.22939068100357,232,5,0.25,0.5220665374982278,0.25,20.309059118189122,495,0.25,1.7272547468354431,0.5,5,0.25,0.5201471826559294,0.25,6742
High-Risk,HR_1007,36,Male,14250.969572424185,0,1,0,0,3,145,48.333333333333336,24,15,0.5,3.4551724137931035,2.5,28.27586206896552,60,1,7.463414634146342,5,15,0.5,3.269230769230769,2.5,34
High-Risk,HR_1008,28,Male,18604.36804933253,0,1,1,0,139,6228,44.805755395683455,32,10,0.25,1.4297527296082209,1,25.272960822093772,197.5,0.25,3.8454574332909783,1.5,10,0.25,1.4163085517834122,1,538.75
