group,id_player,prev_outcome,n_round,rt_mean,rt_z_mean
High-Risk,HR_1,loss,6527,689.1179715029876,-0.004253042880763164
High-Risk,HR_1,win,1950,694.9461538461538,0.014235697888584649
High-Risk,HR_10,loss,15227,497.41675970315885,-0.04345803451717423
High-Risk,HR_10,win,5277,541.8302065567557,0.12539994155637887
High-Risk,HR_100,loss,560,368.17321428571427,-0.11148082487328483
High-Risk,HR_100,win,207,495.2512077294686,0.3015906373383548
High-Risk,HR_1000,loss,177,236.19209039548022,-0.10737849736843279
High-Risk,HR_1000,win,56,304.23214285714283,0.3393927506109397
High-Risk,HR_1001,loss,34,733.7058823529412,-0.10202766004117032
High-Risk,HR_1001,win,8,826.5,0.43361755517497297
High-Risk,HR_1002,loss,2,422,0
High-Risk,HR_1003,loss,2240,296.48660714285717,-0.04331895823938309
High-Risk,HR_1003,win,596,349.748322147651,0.16280950747687573
High-Risk,HR_1004,loss,1592,841.4886934673367,-0.024041848177531085
High-Risk,HR_1004,win,582,872.4450171821305,0.06576395583956911
High-Risk,HR_1005,loss,297,319.7744107744108,-0.08085592793287655
High-Risk,HR_1005,win,92,435.2282608695652,0.2610240282180909
High-Risk,HR_1006,loss,83668,496.6011617344744,-0.006134824778225117
High-Risk,HR_1006,win,21422,503.92325646531606,0.023960812227828643
High-Risk,HR_1007,loss,101,380.2772277227723,-0.26590854699295413
High-Risk,HR_1007,win,41,508.5121951219512,0.6550430060070335
High-Risk,HR_1008,loss,4511,408.28641099534474,0.013922259870209465
High-Risk,HR_1008,win,1571,400.5315085932527,-0.03997664816964697
High-Risk,HR_1009,loss,4278,246.87564282374942,-0.07874827402368535
High-Risk,HR_1009,win,1426,316.5210378681627,0.23624482207105615
High-Risk,HR_101,loss,323,574.7925696594427,-0.037203884333148356
High-Risk,HR_101,win,106,611.8018867924528,0.11336655320383893
High-Risk,HR_1010,loss,444,292.9301801801802,-0.015070091192379065
High-Risk,HR_1010,win,112,306.60714285714283,0.05974214722693197
High-Risk,HR_1011,loss,1036,236.84652509652508,-0.030451544321702405
High-Risk,HR_1011,win,303,262.5082508250825,0.10411815154219033
High-Risk,HR_1012,loss,58,453.62068965517244,-0.0033212222626052353
High-Risk,HR_1012,win,20,460.7,0.009631544561555006
High-Risk,HR_1013,loss,4253,450.1935104632025,-0.03834517513363544
High-Risk,HR_1013,win,1321,494.50719152157455,0.12345346695181783
High-Risk,HR_1014,loss,234,465.3076923076923,-0.19535982686309167
High-Risk,HR_1014,win,52,602.7307692307693,0.8791192208839126
High-Risk,HR_1015,loss,179,563.2513966480446,-0.04402295783554647
High-Risk,HR_1015,win,49,639.204081632653,0.1608185602563834
High-Risk,HR_1016,loss,126,595.1984126984127,-0.06066023819855296
High-Risk,HR_1016,win,25,692.4,0.3057276005207071
High-Risk,HR_1017,loss,24,855.5,-0.15468583715579326
High-Risk,HR_1017,win,7,1108,0.5303514416770057
High-Risk,HR_1018,loss,2080,341.11538461538464,-0.13544832297077997
High-Risk,HR_1018,win,493,512.4827586206897,0.5714655411343252
High-Risk,HR_1019,loss,632,636.9841772151899,-0.035794074033274795
High-Risk,HR_1019,win,203,671.743842364532,0.111437708320343
High-Risk,HR_102,loss,1205,495.19004149377594,-0.07050143688918555
High-Risk,HR_102,win,347,547.6685878962536,0.24482487449990922
