group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,HR_1,loss,6552,50,0.7631257631257631,6.868131868131868e-4,0.0013736263736263735,0.09,0.18
High-Risk,HR_1,win,1960,1,0.05102040816326531,0.0012755102040816326,5.102040816326531e-4,2.5,1
High-Risk,HR_10,loss,15250,339,2.222950819672131,-0.08739344262295082,-0.018688524590163933,-3.9314159292035398,-0.8407079646017699
High-Risk,HR_10,win,5289,2,0.03781433163168841,0.00274153904329741,0.0013235016071090943,7.25,3.5
High-Risk,HR_100,loss,560,6,1.0714285714285714,-0.0017857142857142857,-0.005357142857142857,-0.16666666666666666,-0.5
High-Risk,HR_100,win,207,1,0.4830917874396135,0.014492753623188406,0.00966183574879227,3,2
High-Risk,HR_1000,loss,177,10,5.649717514124294,0,0,0,0
High-Risk,HR_1000,win,56,2,3.571428571428571,0.026785714285714284,0.05357142857142857,0.75,1.5
High-Risk,HR_1001,loss,34,4,11.76470588235294,0.11764705882352941,0.11764705882352941,1,1
High-Risk,HR_1001,win,8,1,12.5,0.0625,0.125,0.5,1
High-Risk,HR_1002,loss,2,0,0,0,0,NA,NA
High-Risk,HR_1003,loss,2243,9,0.4012483281319661,-8.916629514043691e-4,-0.003120820329915292,-0.2222222222222222,-0.7777777777777778
High-Risk,HR_1003,win,596,2,0.33557046979865773,0,0,0,0
High-Risk,HR_1004,loss,1595,81,5.078369905956113,0.00219435736677116,-0.003761755485893417,0.043209876543209874,-0.07407407407407407
High-Risk,HR_1004,win,589,2,0.3395585738539898,0.0012733446519524619,0.003395585738539898,0.375,1
High-Risk,HR_1005,loss,300,0,0,0,0,NA,NA
High-Risk,HR_1005,win,93,0,0,0,0,NA,NA
High-Risk,HR_1006,loss,84048,1688,2.0083761660003807,-0.0016389444127165428,-0.003712164477441462,-0.08160545023696683,-0.1848341232227488
High-Risk,HR_1006,win,21478,233,1.0848309898500792,0.006145823633485427,0.013455629015737033,0.5665236051502146,1.240343347639485
High-Risk,HR_1007,loss,101,15,14.85148514851485,0.2722772277227723,0.10891089108910891,1.8333333333333333,0.7333333333333333
High-Risk,HR_1007,win,41,2,4.878048780487805,-0.3048780487804878,-0.07317073170731707,-6.25,-1.5
High-Risk,HR_1008,loss,4517,173,3.8299756475536864,-0.0037082134159840603,-0.012176223156962585,-0.0968208092485549,-0.3179190751445087
High-Risk,HR_1008,win,1572,14,0.8905852417302799,0.007315521628498728,0.01272264631043257,0.8214285714285714,1.4285714285714286
High-Risk,HR_1009,loss,4284,1,0.02334267040149393,1.1671335200746966e-4,2.3342670401493932e-4,0.5,1
High-Risk,HR_1009,win,1428,2,0.1400560224089636,0,0,0,0
High-Risk,HR_101,loss,325,6,1.8461538461538463,0.0015384615384615385,0,0.08333333333333333,0
High-Risk,HR_101,win,107,0,0,0,0,NA,NA
High-Risk,HR_1010,loss,444,3,0.6756756756756757,-0.003941441441441441,-0.009009009009009009,-0.5833333333333334,-1.3333333333333333
High-Risk,HR_1010,win,112,0,0,0,0,NA,NA
High-Risk,HR_1011,loss,1037,3,0.28929604628736744,9.643201542912247e-4,0.0019286403085824494,0.3333333333333333,0.6666666666666666
High-Risk,HR_1011,win,304,0,0,0,0,NA,NA
High-Risk,HR_1012,loss,58,1,1.7241379310344827,0.008620689655172414,0.017241379310344827,0.5,1
High-Risk,HR_1012,win,20,0,0,0,0,NA,NA
High-Risk,HR_1013,loss,4266,35,0.8204406938584154,0.004981247069854665,0.001875293014533521,0.6071428571428571,0.22857142857142856
High-Risk,HR_1013,win,1325,0,0,0,0,NA,NA
High-Risk,HR_1014,loss,234,5,2.1367521367521367,0.04700854700854701,0.021367521367521368,2.2,1
High-Risk,HR_1014,win,52,0,0,0,0,NA,NA
High-Risk,HR_1015,loss,182,0,0,0,0,NA,NA
High-Risk,HR_1015,win,50,0,0,0,0,NA,NA
High-Risk,HR_1016,loss,127,4,3.149606299212598,0.001968503937007874,0,0.0625,0
High-Risk,HR_1016,win,25,0,0,0,0,NA,NA
High-Risk,HR_1017,loss,24,1,4.166666666666666,0.10416666666666667,0.041666666666666664,2.5,1
High-Risk,HR_1017,win,7,0,0,0,0,NA,NA
High-Risk,HR_1018,loss,2080,56,2.6923076923076925,-0.009375,-0.019230769230769232,-0.3482142857142857,-0.7142857142857143
High-Risk,HR_1018,win,495,13,2.6262626262626263,0.025252525252525252,0.028282828282828285,0.9615384615384616,1.0769230769230769
High-Risk,HR_1019,loss,633,6,0.9478672985781991,-0.002369668246445498,-0.00631911532385466,-0.25,-0.6666666666666666
High-Risk,HR_1019,win,203,1,0.49261083743842365,0.0024630541871921183,0.0049261083743842365,0.5,1
High-Risk,HR_102,loss,1208,108,8.940397350993377,-2.0695364238410596e-4,-0.0016556291390728477,-0.0023148148148148147,-0.018518518518518517
High-Risk,HR_102,win,348,4,1.1494252873563218,0.005028735632183908,0.011494252873563218,0.4375,1
High-Risk,HR_1020,loss,7145,39,0.5458362491252624,-0.0014695591322603219,-0.00489853044086774,-0.2692307692307692,-0.8974358974358975
High-Risk,HR_1020,win,2271,0,0,0,0,NA,NA
High-Risk,HR_1021,loss,2717,55,2.0242914979757085,-0.0012881854987118145,-3.68052999631947e-4,-0.06363636363636363,-0.01818181818181818
High-Risk,HR_1021,win,825,3,0.36363636363636365,0.00393939393939394,0.0036363636363636364,1.0833333333333333,1
High-Risk,HR_1022,loss,4540,3,0.06607929515418502,0.0011013215859030838,2.2026431718061675e-4,1.6666666666666667,0.3333333333333333
High-Risk,HR_1022,win,1435,1,0.06968641114982578,-0.003484320557491289,-6.968641114982578e-4,-5,-1
High-Risk,HR_1023,loss,5829,39,0.6690684508492023,8.57780065191285e-5,8.577800651912849e-4,0.01282051282051282,0.1282051282051282
High-Risk,HR_1023,win,1745,1,0.05730659025787965,1.4326647564469913e-4,5.730659025787965e-4,0.25,1
High-Risk,HR_1024,loss,608,3,0.4934210526315789,0.003289473684210526,0.006578947368421052,0.6666666666666666,1.3333333333333333
High-Risk,HR_1024,win,194,2,1.0309278350515463,0.005154639175257732,0.010309278350515464,0.5,1
High-Risk,HR_1025,loss,53,2,3.7735849056603774,0.14150943396226415,0.03773584905660377,3.75,1
High-Risk,HR_1025,win,18,0,0,0,0,NA,NA
High-Risk,HR_1026,loss,1939,8,0.4125838060856112,5.157297576070139e-4,0.0015471892728210418,0.125,0.375
High-Risk,HR_1026,win,630,0,0,0,0,NA,NA
High-Risk,HR_1027,loss,989,11,1.1122345803842264,-0.0032861476238624874,-0.00910010111223458,-0.29545454545454547,-0.8181818181818182
