group,id_player,round_pos,total_count,win_count,win_prob
High-Risk,HR_1,overall,8586,1962,22.851153039832283
High-Risk,HR_1,end,74,2,2.7027027027027026
High-Risk,HR_10,overall,20938,5289,25.260292291527364
High-Risk,HR_10,end,399,0,0
High-Risk,HR_100,overall,781,207,26.504481434058896
High-Risk,HR_100,end,14,0,0
High-Risk,HR_1000,overall,240,56,23.333333333333332
High-Risk,HR_1000,end,7,0,0
High-Risk,HR_1001,overall,44,8,18.181818181818183
High-Risk,HR_1001,end,2,0,0
High-Risk,HR_1002,overall,3,1,33.33333333333333
High-Risk,HR_1002,end,1,1,100
High-Risk,HR_1003,overall,2875,597,20.765217391304347
High-Risk,HR_1003,end,36,1,2.7777777777777777
High-Risk,HR_1004,overall,2284,589,25.788091068301227
High-Risk,HR_1004,end,100,0,0
High-Risk,HR_1005,overall,394,93,23.604060913705585
High-Risk,HR_1005,end,1,0,0
High-Risk,HR_1006,overall,105805,21488,20.309059118189122
High-Risk,HR_1006,end,279,10,3.584229390681003
High-Risk,HR_1007,overall,145,41,28.27586206896552
High-Risk,HR_1007,end,3,0,0
High-Risk,HR_1008,overall,6228,1574,25.272960822093772
High-Risk,HR_1008,end,139,2,1.4388489208633095
High-Risk,HR_1009,overall,5758,1433,24.88711358110455
High-Risk,HR_1009,end,46,5,10.869565217391305
High-Risk,HR_101,overall,442,108,24.43438914027149
High-Risk,HR_101,end,10,1,10
High-Risk,HR_1010,overall,574,113,19.686411149825783
High-Risk,HR_1010,end,18,1,5.555555555555555
High-Risk,HR_1011,overall,1363,305,22.377109317681583
High-Risk,HR_1011,end,22,1,4.545454545454546
High-Risk,HR_1012,overall,81,21,25.925925925925924
High-Risk,HR_1012,end,3,1,33.33333333333333
High-Risk,HR_1013,overall,5656,1325,23.426449787835928
High-Risk,HR_1013,end,65,0,0
High-Risk,HR_1014,overall,289,52,17.99307958477509
High-Risk,HR_1014,end,3,0,0
High-Risk,HR_1015,overall,235,51,21.70212765957447
High-Risk,HR_1015,end,3,1,33.33333333333333
High-Risk,HR_1016,overall,154,25,16.233766233766232
High-Risk,HR_1016,end,2,0,0
High-Risk,HR_1017,overall,33,7,21.21212121212121
High-Risk,HR_1017,end,2,0,0
High-Risk,HR_1018,overall,2606,496,19.03300076745971
High-Risk,HR_1018,end,31,1,3.225806451612903
High-Risk,HR_1019,overall,842,203,24.109263657957243
High-Risk,HR_1019,end,6,0,0
High-Risk,HR_102,overall,1579,348,22.039265357821407
High-Risk,HR_102,end,23,0,0
High-Risk,HR_1020,overall,9493,2272,23.933424628673762
High-Risk,HR_1020,end,77,1,1.2987012987012987
High-Risk,HR_1021,overall,3630,825,22.727272727272727
High-Risk,HR_1021,end,88,0,0
High-Risk,HR_1022,overall,6202,1436,23.153821347952274
High-Risk,HR_1022,end,227,1,0.4405286343612335
High-Risk,HR_1023,overall,7680,1746,22.734375
High-Risk,HR_1023,end,106,1,0.9433962264150944
High-Risk,HR_1024,overall,805,194,24.099378881987576
High-Risk,HR_1024,end,3,0,0
High-Risk,HR_1025,overall,72,18,25
High-Risk,HR_1025,end,1,0,0
High-Risk,HR_1026,overall,2650,631,23.81132075471698
High-Risk,HR_1026,end,81,1,1.2345679012345678
High-Risk,HR_1027,overall,1309,308,23.52941176470588
High-Risk,HR_1027,end,12,0,0
High-Risk,HR_1028,overall,74,12,16.216216216216218
High-Risk,HR_1028,end,2,0,0
High-Risk,HR_1029,overall,113,23,20.353982300884958
High-Risk,HR_1029,end,4,0,0
High-Risk,HR_103,overall,13112,3173,24.19920683343502
High-Risk,HR_103,end,108,4,3.7037037037037033
High-Risk,HR_1030,overall,270,59,21.85185185185185
High-Risk,HR_1030,end,2,0,0
High-Risk,HR_1031,overall,87,19,21.839080459770116
High-Risk,HR_1031,end,2,0,0
High-Risk,HR_1032,overall,1607,387,24.082140634723086
High-Risk,HR_1032,end,13,0,0
High-Risk,HR_1033,overall,69,16,23.18840579710145
High-Risk,HR_1033,end,1,0,0
High-Risk,HR_1034,overall,1212,238,19.636963696369637
High-Risk,HR_1034,end,11,0,0
High-Risk,HR_1035,overall,3724,913,24.516648764769066
High-Risk,HR_1035,end,29,0,0
High-Risk,HR_1036,overall,525,151,28.76190476190476
High-Risk,HR_1036,end,6,1,16.666666666666664
High-Risk,HR_1037,overall,1206,284,23.548922056384743
High-Risk,HR_1037,end,11,0,0
High-Risk,HR_1038,overall,814,176,21.62162162162162
High-Risk,HR_1038,end,3,0,0
High-Risk,HR_1039,overall,160,30,18.75
High-Risk,HR_1039,end,1,0,0
High-Risk,HR_104,overall,19,5,26.31578947368421
High-Risk,HR_104,end,1,0,0
High-Risk,HR_1040,overall,125,30,24
High-Risk,HR_1040,end,2,0,0
High-Risk,HR_1041,overall,228,60,26.31578947368421
High-Risk,HR_1041,end,3,0,0
High-Risk,HR_1042,overall,13658,3299,24.154341777712695
High-Risk,HR_1042,end,123,3,2.4390243902439024
High-Risk,HR_1043,overall,73,14,19.17808219178082
High-Risk,HR_1043,end,4,0,0
High-Risk,HR_1044,overall,125,25,20
High-Risk,HR_1044,end,4,0,0
High-Risk,HR_1045,overall,11,0,0
High-Risk,HR_1045,end,1,0,0
High-Risk,HR_1046,overall,58,17,29.310344827586203
High-Risk,HR_1046,end,1,0,0
High-Risk,HR_1047,overall,189,45,23.809523809523807
High-Risk,HR_1047,end,5,3,60
High-Risk,HR_1048,overall,5169,1143,22.11259431224608
High-Risk,HR_1048,end,49,2,4.081632653061225
High-Risk,HR_1049,overall,33,6,18.181818181818183
High-Risk,HR_1049,end,1,0,0
High-Risk,HR_105,overall,32210,7461,23.163613784538963
High-Risk,HR_105,end,378,2,0.5291005291005291
High-Risk,HR_1050,overall,90,20,22.22222222222222
High-Risk,HR_1050,end,3,0,0
High-Risk,HR_1051,overall,1426,341,23.91304347826087
High-Risk,HR_1051,end,6,0,0
High-Risk,HR_1052,overall,1271,267,21.00708103855232
High-Risk,HR_1052,end,16,1,6.25
High-Risk,HR_1053,overall,275,63,22.90909090909091
High-Risk,HR_1053,end,2,0,0
High-Risk,HR_1054,overall,1038,253,24.373795761079
High-Risk,HR_1054,end,10,2,20
High-Risk,HR_1055,overall,5189,1166,22.47061090768934
High-Risk,HR_1055,end,43,1,2.3255813953488373
High-Risk,HR_1056,overall,1920,424,22.083333333333332
High-Risk,HR_1056,end,29,0,0
High-Risk,HR_1057,overall,170,28,16.470588235294116
High-Risk,HR_1057,end,5,0,0
High-Risk,HR_1058,overall,21,4,19.047619047619047
High-Risk,HR_1058,end,1,0,0
High-Risk,HR_1059,overall,2365,570,24.101479915433405
High-Risk,HR_1059,end,28,0,0
High-Risk,HR_106,overall,360,82,22.77777777777778
High-Risk,HR_106,end,11,2,18.181818181818183
High-Risk,HR_1060,overall,612,124,20.26143790849673
High-Risk,HR_1060,end,3,0,0
High-Risk,HR_1061,overall,1280,342,26.718750000000004
High-Risk,HR_1061,end,28,0,0
High-Risk,HR_1062,overall,181,33,18.23204419889503
High-Risk,HR_1062,end,11,0,0
High-Risk,HR_1063,overall,78113,18860,24.144508596520424
High-Risk,HR_1063,end,724,4,0.5524861878453038
High-Risk,HR_1064,overall,9407,2209,23.482513022217496
High-Risk,HR_1064,end,78,0,0
High-Risk,HR_1065,overall,1970,472,23.95939086294416
High-Risk,HR_1065,end,28,1,3.571428571428571
High-Risk,HR_1066,overall,6507,1644,25.265099124020285
High-Risk,HR_1066,end,108,6,5.555555555555555
High-Risk,HR_1067,overall,43,10,23.25581395348837
High-Risk,HR_1067,end,2,0,0
High-Risk,HR_1068,overall,2397,531,22.152690863579476
High-Risk,HR_1068,end,18,1,5.555555555555555
High-Risk,HR_1069,overall,2257,477,21.134249003101463
High-Risk,HR_1069,end,29,1,3.4482758620689653
High-Risk,HR_107,overall,12571,2852,22.687137061490734
High-Risk,HR_107,end,186,30,16.129032258064516
High-Risk,HR_1070,overall,156,29,18.58974358974359
High-Risk,HR_1070,end,4,0,0
High-Risk,HR_1071,overall,19,4,21.052631578947366
High-Risk,HR_1071,end,1,0,0
High-Risk,HR_1072,overall,212,48,22.641509433962266
High-Risk,HR_1072,end,2,0,0
High-Risk,HR_1073,overall,3255,686,21.0752688172043
High-Risk,HR_1073,end,29,0,0
High-Risk,HR_1074,overall,688,156,22.674418604651162
High-Risk,HR_1074,end,1,0,0
High-Risk,HR_1075,overall,10332,2318,22.4351529229578
High-Risk,HR_1075,end,166,4,2.4096385542168677
High-Risk,HR_1076,overall,4096,990,24.169921875
High-Risk,HR_1076,end,54,6,11.11111111111111
High-Risk,HR_1077,overall,1803,374,20.74320576816417
High-Risk,HR_1077,end,28,0,0
High-Risk,HR_1078,overall,103,14,13.592233009708737
High-Risk,HR_1078,end,3,0,0
High-Risk,HR_1079,overall,76,14,18.421052631578945
High-Risk,HR_1079,end,2,0,0
High-Risk,HR_108,overall,2276,587,25.7908611599297
High-Risk,HR_108,end,21,0,0
High-Risk,HR_1080,overall,440,95,21.59090909090909
High-Risk,HR_1080,end,7,0,0
High-Risk,HR_1081,overall,3330,842,25.285285285285287
High-Risk,HR_1081,end,39,0,0
High-Risk,HR_1082,overall,1458,361,24.7599451303155
High-Risk,HR_1082,end,25,0,0
High-Risk,HR_1083,overall,31,9,29.03225806451613
High-Risk,HR_1083,end,1,0,0
High-Risk,HR_1084,overall,7801,1328,17.02345853095757
High-Risk,HR_1084,end,139,8,5.755395683453238
High-Risk,HR_1085,overall,49,13,26.53061224489796
High-Risk,HR_1085,end,1,0,0
High-Risk,HR_1086,overall,5244,1230,23.455377574370708
High-Risk,HR_1086,end,78,0,0
High-Risk,HR_1087,overall,26,2,7.6923076923076925
High-Risk,HR_1087,end,1,0,0
High-Risk,HR_1088,overall,1626,363,22.324723247232473
High-Risk,HR_1088,end,25,1,4
High-Risk,HR_1089,overall,3,0,0
High-Risk,HR_1089,end,1,0,0
